temperature_c,humidity_pct,light_norm,label
25.62,59.66,0.5158,normal
18.95,63.76,0.4506,normal
48.01,93.63,0.0203,critical
27.04,44.3,0.7802,normal
40.79,90.39,0.1432,critical
22.74,41.45,0.493,normal
22.61,53.44,0.6783,normal
17.71,56.25,0.4098,normal
22.5,56.81,0.5657,normal
20.2,55.39,0.8392,normal
24.06,71.79,0.5118,warning
22.53,49.84,0.7848,normal
13.83,57.26,0.7489,normal
14.68,32.57,0.7937,normal
42.16,100.0,0.378,critical
42.24,94.1,0.1131,critical
28.31,40.17,0.5937,normal
35.06,69.87,0.1219,warning
24.1,46.1,0.684,normal
48.29,89.03,0.3825,critical
21.53,49.71,0.3926,normal
42.69,82.44,0.346,critical
20.33,52.15,0.6995,normal
31.6,61.93,0.4876,warning
40.26,80.56,0.2988,critical
24.52,59.12,0.5656,normal
47.14,90.87,0.3177,critical
30.33,72.67,0.2138,warning
21.78,59.9,0.7596,normal
21.33,50.75,0.7876,normal
16.41,46.89,0.7519,normal
46.2,83.37,0.2804,critical
30.24,60.1,0.419,warning
22.78,41.76,0.4062,normal
34.31,69.66,0.2976,warning
32.19,70.2,0.3667,warning
24.61,57.53,0.8684,normal
12.26,42.81,0.4436,normal
18.09,30.11,0.8668,normal
21.5,40.42,0.9672,normal
17.19,45.8,0.4301,normal
38.04,75.21,0.3686,warning
49.22,88.61,0.2993,critical
36.26,72.39,0.3063,warning
19.08,40.48,0.4546,normal
23.39,68.66,0.4763,normal
25.0,66.29,0.904,normal
51.52,80.67,0.3977,critical
17.1,53.04,0.5389,normal
23.66,51.87,0.8216,normal
18.43,50.72,0.4333,normal
33.23,73.1,0.4098,warning
24.83,44.86,0.6429,normal
19.46,44.3,0.7297,normal
31.38,73.09,0.2582,warning
21.65,50.43,0.51,normal
23.17,66.15,0.6335,normal
47.15,87.73,0.2932,critical
36.41,71.13,0.2794,warning
20.27,61.91,0.4643,normal
15.98,38.08,0.9082,normal
49.17,94.79,0.1053,critical
47.21,88.69,0.0302,critical
37.54,75.69,0.1156,warning
42.45,87.49,0.236,critical
26.21,42.97,0.7033,normal
37.39,74.95,0.4876,warning
44.11,92.65,0.3089,critical
21.65,41.75,0.6521,normal
17.99,49.34,0.6764,normal
30.96,66.72,0.5033,warning
32.64,73.02,0.3571,warning
43.63,91.04,0.3795,critical
16.35,27.93,0.8283,normal
18.25,50.98,0.4922,normal
44.56,90.14,0.1478,critical
48.62,90.9,0.3631,critical
43.1,94.31,0.1819,critical
42.07,79.04,0.262,critical
20.61,38.37,0.8893,normal
23.59,43.27,0.7038,normal
24.68,62.93,0.5874,normal
17.66,34.4,0.6858,normal
39.78,97.65,0.2065,critical
30.36,83.03,0.3434,warning
16.59,51.53,0.6762,normal
35.16,77.31,0.1385,warning
20.29,44.59,0.4715,normal
41.88,96.05,0.0473,critical
22.9,68.12,0.8182,normal
17.46,51.32,0.487,normal
26.01,66.06,0.3646,normal
37.77,76.75,0.1806,warning
21.22,47.94,0.722,normal
24.9,52.66,0.467,normal
37.92,73.25,0.3818,warning
38.75,75.93,0.4309,warning
21.65,54.14,0.642,normal
30.03,49.09,0.4609,warning
24.62,38.14,0.8665,normal
23.09,44.27,0.7788,normal
45.42,97.99,0.1371,critical
30.16,76.93,0.2149,warning
32.92,76.58,0.2012,warning
25.01,40.85,0.6229,normal
23.06,53.63,0.6593,normal
